0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,0,0,0,-1,-1,22,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,23,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,34
0,0,0,0,-1,-1,-1,31,0,-1,0,0,0,0,35,0,0,0,-1,-1
0,22,0,0,14,1,1,1,1,8,1,3,-1,0,14,3,-1,0,0,0
0,0,0,0,20,21,21,19,20,2,0,2,-1,-1,0,2,-1,0,-1,-1
0,0,0,22,-1,-1,-1,0,0,2,0,5,1,8,1,4,-1,0,0,0
0,23,0,0,-1,-1,-1,22,0,2,31,0,0,2,0,-1,-1,0,-1,-1
0,0,0,0,-1,24,-1,0,-1,5,1,1,1,4,0,0,30,0,0,-1
0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1
0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,32,0,0,0,-1
0,0,23,0,-1,-1,24,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
